id,name,brand,weight,price,mrp,discount,availability,url,image
40147597,Daily Health Toned Milk,Heritage,500 ml,32.0,32.0,,Add,https://www.bigbasket.com/pd/40147597/heritage-daily-health-toned-milk-500-ml-pouch/,https://www.bbassets.com/media/uploads/p/l/40147597_9-heritage-daily-health-toned-milk.jpg
40090893,Gold Full Cream Milk,Amul,500 ml,34.0,34.0,,Add,https://www.bigbasket.com/pd/40090893/amul-amul-gold-500-ml-pouch/,https://www.bbassets.com/media/uploads/p/l/40090893_8-amul-amul-gold.jpg
40090894,Taaza Milk,Amul,500 ml,26.0,26.0,,Add,https://www.bigbasket.com/pd/40090894/amul-taaza-500-ml-pouch/,https://www.bbassets.com/media/uploads/p/l/40090894_7-amul-taaza.jpg
40161616,Samrudhi Milk,Nandini,500 ml,28.0,28.0,,Add,https://www.bigbasket.com/pd/40161616/nandini-samrudhi-milk-500-ml-pouch/,https://www.bbassets.com/media/uploads/p/l/40161616_2-nandini-samrudhi-milk.jpg
40159657,Full Cream Milk,Mother Dairy,1 L,72.0,72.0,,Add,https://www.bigbasket.com/pd/40159657/mother-dairy-full-cream-milk-fcm-1-l/,https://www.bbassets.com/media/uploads/p/l/40159657_4-mother-dairy-full-cream-milk-fcm.jpg
40163720,Cow Milk,Sids Farm,500 ml,44.0,44.0,,Add,https://www.bigbasket.com/pd/40163720/sids-farm-natural-cow-milk-500-ml/,https://www.bbassets.com/media/uploads/p/l/40163720_9-sids-farm-natural-cow-milk.jpg
40141616,Full Cream Milk,Chitale,500 ml,38.0,38.0,,Add,https://www.bigbasket.com/pd/40141616/chitale-full-cream-milk-500-ml-pouch/,https://www.bbassets.com/media/uploads/p/l/40141616_4-chitale-full-cream-milk.jpg
40151384,Pasteurised Full Cream Milk,Aavin,500 ml,30.0,30.0,,Add,https://www.bigbasket.com/pd/40151384/aavin-pasteurised-full-cream-milk-500-ml-pouch/,https://www.bbassets.com/media/uploads/p/l/40151384_1-aavin-pasteurised-full-cream-milk.jpg
40199928,Gold Pasteurised Full Cream Milk,Sangam,500 ml,36.0,36.0,,Add,https://www.bigbasket.com/pd/40199928/sangam-gold-pasteurised-full-cream-milk-500-ml/,https://www.bbassets.com/media/uploads/p/l/40199928_2-sangam-gold-pasteurised-full-cream-milk.jpg
40323008,Pasteurised Full Cream Milk,Namaste India,500 ml,37.0,37.0,,Add,https://www.bigbasket.com/pd/40323008/namaste-india-pasteurised-full-cream-milk-500-ml/,https://www.bbassets.com/media/uploads/p/l/40323008_1-namaste-india-pasteurised-full-cream-milk.jpg
